question,label
﻿,0
"מחיר 1 ק""ג תפוזים נמוך ב- 2 ש""ח ממחיר 1 ק""ג אגסים",0
"ק""ג תפוזים ו- 4 ק""ג אגסים עולים יחד 50 ש""ח. (א) מהו מחירו של 1 ק""ג תפוזים ומהו מחירו של 1 ק""ג אגסים ? (ב) מה יקר יותר – 5 ק""ג תפוזים או 4 ק""ג אגסים ? נמקו. (ג) כמה ק""ג אגסים אפשר לקנות במחיר של 8 ק""ג תפוזים ?",0
בחידון יש שני חלקים. על כל תשובה נכונה בחלק א מקבלים 9 נקודות. על כל תשובה נכונה בחלק ב מקבלים 12 נקודות. בחידון 15 שאלות וניתן לצבור 153 נקודות. כמה שאלות בכל חלק בבחינה ?,0
"איתי בחר מספר, הוסיף לו 2 ואת התוצאה כפל ב- 2 . הוא קיבל תוצאה הגדולה ב- 14 מהמספר שבחר. מהו המספר שבחר איתי ?",0
הדר מבוגרת מאיתי ב- 3 שנים. בעוד 10 שנים יהיה סכום הגילים של הדר ואיתי 37 . בני כמה הם היום?,0
גילו של האב הוא 30 שנה. גיל בנו הוא 6 שנים. (א) בעוד כמה שנים יהיה גיל האב גדול פי 3 מגיל בנו ? (ב) לפני כמה שנים היה גיל האב גדול פי 7 מגיל בנו ?,0
"שלושה אחים הם בני 7 , 9 ו- 14 שנים. בעוד כמה שנים יהיה סכום הגילים שלהם 60 ?",0
"האב בן 36 וילדיו בני: 8 , 10 , 12 שנים. בעוד כמה שנים יהיה גיל האב שווה לסכום הגילים של שלושת ילדיו ?",0
בבחינה יש 25 שאלות. על כל תשובה נכונה מקבלים 4 נקודות. על כל תשובה לא נכונה מורידים 2 נקודות. רן ניגש לבחינה וקיבל את הציון 70 . כמה תשובות נכונות ענה רן בבחינה ?,0
"מספר הבנים במסיבה גדול פי 2 ממספר הבנות. אם יתווספו למסיבה 10 בנים, ו- 5 בנות תצאנה, יהיה מספר הבנים גדול פי 4 ממספר הבנות. מה היה מספר הבנים במסיבה ?",0
