question,label
"משאית יוצאת בשעה 8:00 בבוקר מעיר א' לעיר ב' במהירות קבועה, מרחק של 210 קילומטרים. בדרך חזרה היא הלכה בדרך עפר שהייתה קצרה ממנה ב-30 ק""מ, כך שמהירותה ירדה ב-10 ק""מ לשעה. זמן הטיסה הלוך ושוב היה זהה. באיזו שעה הגיעה המשאית לעיר א'?",0
"כמה חברים החליטו לקנות ביחד קונסולת משחקים וגייסו כסף. אם כל חבר היה משלם 220 שקלים, היה עודף של 60 שקלים. אם כל חבר היה משלם 200 שקל, היה גירעון של 120 שקל. באיזה מחיר רכשו החברים את קונסולת המשחקים?",0
לפני כמה שנים היה גילו של האב פי 3מגיל הבן? בעיות העברה – תרגול,0
"נתון מלבן שהיקפו 42 ס""מ. הקטינו 2 צלעות נגדיות ב -a כך שהתקבל ריבוע. אם היו מגדלים את אותה הצלע ב -a במקום לקצר היו מקבלים מלבן ששטחו 135 סמ""ר. מצאו את ממדיו של המלבן הנתון. )מצאו 2 אפשרויות(",1
"הרחיב את צלע הריבוע בכמות, ותקבל מלבן. היקף המלבן המתקבל גדול פי 8 מהיקף הריבוע. מה אורך הצלע של הריבוע?",0
"בחדר ב יש 8 תלמידים יותר מחדר א', אם יעברו 4 תלמידים מחדר א לב' יהיה מספר התלמידים בחדר ב גדול פי 3 מחדר א מה מספר תלמידים בכל חדר?",0
",3 שקלים סך הכול . א .חשב את המחיר המקורי של פיצה אישית, ואת המחיר המקורי של פיצה משפחתית )המחירים שלפני ההנחה .) ב. לאחר שבוע הכריזו על מבצע אחר :מי שישלם את המחיר המקורי בעבור שתי פיצות אישיות, יקבל פיצה אישית שלישית חינם .מה מספר פיצות אישיות אפשר לקנות במבצע הזה תמורת 232,1 שקלים )כולל הפיצות שהתקבלו בחינם ?)",1
"המרחק בין תל אביב וברלין הוא 1,800 ק""מ, בשעה שבע בבוקר יצא מטוס מתל אביב לברלין וחצי שעה אחרי יצא מטוס מברלין לתל אביב ידוע שמהירות הנסיעה של המטוס מתל אביב לברלין קטנה ב45- קמ""ש ממהירות המטוס שיצא מברלין. המטוס שטס מתל אביב נחת 20 דקות לפני שהמטוס מברלין נחת, מהן מהירות המטוס שיצא מברלין? 6",1
קבוצה של 45 אנשים שכרה אוטובוס לטיול. מחיר השכירות התחלק שווה בשווה בין כל האנשים. יומיים לפני הטיול הצטרפו לקבוצה עוד 5 אנשים ולכן כל משתתף שילם 5,0
גל גדול מאחיו דולב ב3- שנים אביהם גדול מסכום הגילאים שלהם ב,0
